id,Hour1,Hour2,Hour3,Hour4,Hour5,Hour6,Hour7,Hour8,Hour9,Hour10,Hour11,Hour12,Hour13,Hour14,Hour15,Hour16,Hour17,Hour18,Hour19,Hour20,Hour21,Hour22,Hour23,Hour24,Hour25,Hour26,Hour27,Hour28,Hour29,Hour30,Hour31,Hour32,Hour33,Hour34,Hour35,Hour36,Hour37,Hour38,Hour39,Hour40,Hour41,Hour42,Hour43,Hour44,Hour45,Hour46,Hour47,Hour48,Hour49,Hour50,Hour51,Hour52,Hour53,Hour54,HourTotal
1001,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1017,,,,,,,,,,,,,,,,,,,,11,7,15,31,26,,,,,1,,,,,,,,,,,,,,,,,,5,17,20,18,42,49,,,242
1025,,,,,,,,,,,,,,,,,,,2,1,33,4,,,,,,,,,,,,,,,,,,,,,,,,5,10,,,13,,,,,68
1031,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2
1039,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1043,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1049,9,14,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,8,,,,,,,,,,,,,,,,9,65,35,6,41,,,,,189
1055,,,,,,,,,,,,,,,,,,,,,,,,,,,60,306,16,97,,,,,,,,,,,,,,,,,,,,10,,157,217,1,864
1069,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2
1071,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1073,,,,1,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,45,53,,152,308,187,12,93,16,871
1081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,3
1083,,,,,,,,,,,,,,,,,,,,,,,1,,,151,,,200,,,,,,,,,,,,,,,,,,,,4,139,61,,,,556
1085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
1089,19,,,,,,1,,,,,,,,,,,,16,16,,,,,,,,1,,16,,,,,,,,,,,,,,,,,,,,,,,,,69
1095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2
1097,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,20,22
1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,1,,,,,,,,,,,1,,,,,,,,,,39,,1,92,66,286
1103,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1111,,,,,,,,,,,,,,,,,,,27,35,9,25,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108
1115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1,,,,,,,,5
1117,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1121,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1125,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,4
2013,1,,3,2,10,6,7,,,,,,,,,,,,,5,2,,1,3,4,1,1,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,49
2016,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2020,831,1174,1229,1531,1532,1195,427,2,,,,,,,,,,,,220,133,139,395,1364,3034,1358,476,879,1013,1126,2312,2872,597,10,4,,,1,,,,,1,25,30,64,229,335,567,380,414,1085,1270,856,29110
